month,year,avg_gasoline_price
january,2008,1.7398
february,2008,1.7648
march,2008,1.8749
april,2008,1.9133
may,2008,1.9688
june,2008,2.0888
july,2008,2.1756
august,2008,1.9338
september,2008,1.8183
october,2008,1.5877
november,2008,1.3289
december,2008,1.2174
january,2009,1.1317
february,2009,1.1088
march,2009,1.2130
april,2009,1.2754
may,2009,1.3651
june,2009,1.5049
july,2009,1.5577
august,2009,1.5963
september,2009,1.6218
october,2009,1.5771
november,2009,1.6380
december,2009,1.5794
january,2010,1.6446
february,2010,1.5948
march,2010,1.6536
april,2010,1.6847
may,2010,1.5801
june,2010,1.5264
july,2010,1.6284
august,2010,1.6438
september,2010,1.6608
october,2010,1.7685
november,2010,1.7346
december,2010,1.7136
january,2011,1.8152
february,2011,1.8636
march,2011,1.9535
april,2011,2.0720
may,2011,2.0658
june,2011,2.0605
july,2011,2.0399
august,2011,2.0466
september,2011,1.9487
october,2011,1.9243
november,2011,1.8543
december,2011,1.7957
january,2012,1.7993
february,2012,1.9013
march,2012,1.9699
april,2012,1.9999
may,2012,1.8871
june,2012,1.7686
july,2012,1.7452
august,2012,1.8497
september,2012,1.9859
october,2012,1.9665
november,2012,1.8256
december,2012,1.8299
january,2013,1.8409
february,2013,1.9074
march,2013,1.8470
april,2013,1.8213
may,2013,1.7833
june,2013,1.8464
july,2013,1.8455
august,2013,1.8972
september,2013,1.9069
october,2013,1.9065
november,2013,1.7865
december,2013,1.7981
january,2014,1.7922
february,2014,1.7947
march,2014,1.8079
april,2014,1.8066
may,2014,1.8128
june,2014,1.8056
july,2014,1.8211
august,2014,1.7622
september,2014,1.7158
october,2014,1.6790
november,2014,1.6026
december,2014,1.4929
january,2015,1.2803
february,2015,1.2275
march,2015,1.2361
april,2015,1.2510
may,2015,1.3299
june,2015,1.3530
july,2015,1.3424
august,2015,1.3467
september,2015,1.3051
october,2015,1.2599
november,2015,1.1758
december,2015,1.1661
january,2016,1.1220
february,2016,1.1069
march,2016,1.0979
april,2016,1.1664
may,2016,1.2020
june,2016,1.2363
july,2016,1.2174
august,2016,1.2083
september,2016,1.2131
october,2016,1.2045
november,2016,1.1844
december,2016,1.1759
january,2017,1.2213
february,2017,1.2309
march,2017,1.2315
april,2017,1.2406
may,2017,1.2777
june,2017,1.2899
july,2017,1.3083
august,2017,1.3395
september,2017,1.3764
october,2017,1.3780
november,2017,1.4077
december,2017,1.4163
january,2018,1.4739
february,2018,1.5055
march,2018,1.4833
april,2018,1.4970
may,2018,1.4869
june,2018,1.5107
july,2018,1.5033
august,2018,1.4972
september,2018,1.5262
october,2018,1.5006
november,2018,1.4676
december,2018,1.4223
january,2019,1.3836
february,2019,1.3438
march,2019,1.3525
april,2019,1.4161
may,2019,1.4454
june,2019,1.4719
july,2019,1.4483
august,2019,1.4115
september,2019,1.3846
october,2019,1.3952
november,2019,1.3938
december,2019,1.3952
january,2020,1.4205
february,2020,1.3849
march,2020,1.2584
april,2020,1.0732
may,2020,1.0382
june,2020,1.1265
july,2020,1.2033
august,2020,1.2651
september,2020,1.2270
october,2020,1.2087
november,2020,1.2445
december,2020,1.2916
january,2021,1.3057
february,2021,1.3418
march,2021,1.3849
april,2021,1.4495
may,2021,1.5142
june,2021,1.5331
july,2021,1.5448
august,2021,1.5604
september,2021,1.5704
october,2021,1.6199
november,2021,1.6668
december,2021,1.6323
january,2022,1.6674
february,2022,1.7245
march,2022,1.9464
april,2022,1.9054
may,2022,1.9182
june,2022,2.0195
july,2022,1.9516
august,2022,1.7149
september,2022,1.5767
october,2022,1.6652
november,2022,1.7302
december,2022,1.6169
january,2023,1.6441
february,2023,1.7003
march,2023,1.6786
april,2023,1.7564
may,2023,1.6911
june,2023,1.6982
july,2023,1.7325
august,2023,1.7791
september,2023,1.7623
october,2023,1.7049
november,2023,1.6882
