Období;Reálný efektivní kurz koruny: Čtvrtletní, Deflovaný indexem jednotkových nákladů práce, REER deflovaný indexem jednotkových nákladů práce (ULCT) v celé ekonomice, váhy obrat zahr. obchodu 2020 * (%);
2023-09-30;115.41;
2023-06-30;117.36;
2023-03-31;116.3;
2022-12-31;112.41;
2022-09-30;110.11;
2022-06-30;109.83;
2022-03-31;107.78;
2021-12-31;105.03;
2021-09-30;105.8;
2021-06-30;106.69;
2021-03-31;100.64;
2020-12-31;101.02;
2020-09-30;100.59;
2020-06-30;95.48;
2020-03-31;103.08;
2019-12-31;100.18;
2019-09-30;100.06;
2019-06-30;100.53;
2019-03-31;99.98;
2018-12-31;98.06;
2018-09-30;98.87;
2018-06-30;98.85;
2018-03-31;98.68;
2017-12-31;95.25;
2017-09-30;93.51;
2017-06-30;90.37;
2017-03-31;88.73;
2016-12-31;88.33;
2016-09-30;87.57;
2016-06-30;87.02;
2016-03-31;86.46;
2015-12-31;85.12;
2015-09-30;84.43;
2015-06-30;83.59;
2015-03-31;84.1;
2014-12-31;85.98;
2014-09-30;86.46;
2014-06-30;87.83;
2014-03-31;88.57;
2013-12-31;89.27;
2013-09-30;93.14;
2013-06-30;92.37;
2013-03-31;92.77;
2012-12-31;95.89;
2012-09-30;94.28;
2012-06-30;94.72;
2012-03-31;95.92;
2011-12-31;95.56;
2011-09-30;98.96;
2011-06-30;98.69;
2011-03-31;97.58;
2010-12-31;97.42;
2010-09-30;96.12;
2010-06-30;93.21;
2010-03-31;93.05;
2009-12-31;94.46;
2009-09-30;94.04;
2009-06-30;91.81;
2009-03-31;89.45;
2008-12-31;93.78;
2008-09-30;98.88;
2008-06-30;98.69;
2008-03-31;97.58;
